Future_Rank,RegionName,State,Avg_Future_Rent,Avg_Future_Sale,Future_Ratio,GRM,Percent_Rule
1,"Blacksburg, VA",VA,1678.77,149289.20,88.9277,7.4106,0.0112
2,"Indiana, PA",PA,1539.596,139637.20,90.6972,7.5581,0.011
3,"Binghamton, NY",NY,1485.502,160396.40,107.9745,8.9978,0.0092
4,"Peoria, IL",IL,1148.802,129281.00,112.5354,9.3779,0.0088
5,"Danville, IL",IL,666.57,77084.40,115.6433,9.6369,0.0086
6,"Bay City, MI",MI,1157.272,137611.20,118.9099,9.9091,0.0084
7,"Toledo, OH",OH,1152.758,141187.00,122.4775,10.2064,0.0081
8,"Odessa, TX",TX,1354.764,166384.00,122.814,10.2345,0.0081
9,"Watertown, NY",NY,1339.752,166442.40,124.2337,10.3528,0.008
10,"Punta Gorda, FL",FL,2587.95,323991.40,125.1922,10.4326,0.0079
11,"Duluth, MN",MN,1497.752,187915.40,125.4649,10.4554,0.0079
12,"Lebanon, PA",PA,1634.232,205067.60,125.4825,10.4568,0.0079
13,"Battle Creek, MI",MI,1129.358,145795.20,129.0956,10.7579,0.0077
14,"Springfield, IL",IL,1068.386,138261.00,129.411,10.7842,0.0077
15,"Florence, SC",SC,1287.146,167331.60,130.002,10.8335,0.0076
16,"Pottsville, PA",PA,906.58,118016.20,130.1773,10.8481,0.0076
17,"Muncie, IN",IN,1002.506,130569.80,130.2434,10.8536,0.0076
18,"Jackson, MI",MI,1260.042,165682.80,131.4899,10.9574,0.0076
19,"Carbondale, IL",IL,799.926,107705.00,134.6437,11.2203,0.0074
20,"Cleveland, OH",OH,1345.022,181598.80,135.0154,11.2512,0.0074
21,"Bowling Green, KY",KY,1326.874,180384.80,135.9471,11.3289,0.0073
22,"Rome, GA",GA,1256.122,170826.60,135.9952,11.3329,0.0073
23,"Syracuse, NY",NY,1384.468,188702.40,136.2995,11.3582,0.0073
24,"Kankakee, IL",IL,1198.526,164329.20,137.1094,11.4257,0.0072
25,"Beaumont, TX",TX,1253.794,174105.00,138.8625,11.5718,0.0072
26,"Hinesville, GA",GA,1615.546,224351.40,138.8703,11.5725,0.0072
27,"Atlantic City, NJ",NJ,2015.28,280938.40,139.4041,11.617,0.0071
28,"Akron, OH",OH,1214.96,170616.20,140.4294,11.7024,0.0071
29,"Macon, GA",GA,1075.55,151326.80,140.6971,11.7247,0.0071
30,"Warner Robins, GA",GA,1396.194,196559.40,140.7822,11.7318,0.0071
31,"Utica, NY",NY,1161.99,164141.40,141.2588,11.7715,0.007
32,"Cape Coral, FL",FL,2367.892,335997.60,141.8973,11.8247,0.007
33,"Rochester, NY",NY,1366.49,194016.60,141.9817,11.8318,0.007
34,"Jonesboro, AR",AR,1278.568,182658.20,142.8615,11.9051,0.0069
35,"Weirton, WV",OH,752.56,108224.80,143.8088,11.984,0.0069
36,"Valdosta, GA",GA,1399.38,201420.40,143.9354,11.9946,0.0069
37,"Lawton, OK",OK,1009.464,145403.20,144.04,12.0033,0.0069
38,"Montgomery, AL",AL,1218.768,176680.20,144.9662,12.0805,0.0068
39,"Rocky Mount, NC",NC,1393.452,202475.40,145.3048,12.1087,0.0068
40,"South Bend, IN",IN,1238.388,179944.20,145.3051,12.1087,0.0068
41,"Gulfport, MS",MS,1386.732,201640.00,145.4066,12.1172,0.0068
42,"Pittsburgh, PA",PA,1329.398,194301.20,146.1572,12.1797,0.0068
43,"Victoria, TX",TX,1343.638,197744.40,147.1708,12.2642,0.0067
44,"Sebastian, FL",FL,2375.824,350820.40,147.6626,12.3052,0.0067
45,"LaGrange, GA",GA,1233.066,182763.00,148.2183,12.3515,0.0067
46,"Ithaca, NY",NY,1872.308,279207.20,149.1246,12.427,0.0067
47,"Rockford, IL",IL,987.494,147387.60,149.2541,12.4378,0.0066
48,"Naples, FL",FL,3738.502,559885.80,149.762,12.4801,0.0066
49,"Columbus, GA",GA,1143.498,171549.20,150.0214,12.5017,0.0066
50,"Fort Smith, AR",AR,1128.676,169428.00,150.1121,12.5093,0.0066
51,"Greenville, NC",NC,1430.994,215388.40,150.5166,12.543,0.0066
52,"Port St. Lucie, FL",FL,2360.598,355829.40,150.7369,12.5614,0.0066
53,"Clovis, NM",NM,1188.562,179599.60,151.1066,12.5922,0.0066
54,"Miami, FL",FL,2775.812,419796.40,151.2337,12.6028,0.0066
55,"Trenton, NJ",NJ,2325.528,351842.20,151.2956,12.6079,0.0066
56,"Sebring, FL",FL,1373.842,207877.20,151.3108,12.6092,0.0066
57,"Jackson, TN",TN,1248.642,188956.00,151.3292,12.6107,0.0066
58,"El Paso, TX",TX,1486.488,225712.20,151.8425,12.6535,0.0065
59,"Sioux City, IA",IA,1097.516,166755.40,151.9389,12.6615,0.0065
60,"Youngstown, OH",OH,861.31,130919.00,151.9998,12.6666,0.0065
