Five_Month_Rank,RegionName,StateName,Most_Recent_Rent,Most_Recent_Sale,Sales_Per_Rent_Most_Recent,Five_Month_Rent,Five_Month_Sale,Five_Month_Avg,GRM,Percent_Rule
1,"Indiana, PA",PA,1399.07385253906,133480,95.4059714272826,1292.0939453125,129207,99.9981467823925,8.33317889853271,0.0100001853251952
2,"Pottsville, PA",PA,914.98779296875,109532,119.708700861041,912.423754882813,103409.2,113.334620505668,9.44455170880565,0.00882342920052387
3,"Bay City, MI",MI,1174.50329589844,139726,118.966034823356,1206.60317382812,140899.8,116.773934509864,9.73116120915537,0.00856355490801353
4,"Binghamton, NY",NY,1396.70764160156,158701,113.625067460805,1316.82216796875,159810,121.36035061326,10.113362551105,0.00823992345891215
5,"Blacksburg, VA",VA,1626.51867675781,179856,110.577273147894,1607.31369628906,198244,123.338711327915,10.2782259439929,0.00810775456653953
6,"Peoria, IL",IL,1091.24755859375,132643,121.551703786565,1061.21345214844,134148.8,126.410760934489,10.5342300778741,0.00791071893411225
7,"Danville, IL",IL,667.699584960938,81835,122.562604265791,665.012512207031,89347.6,134.354765301295,11.1962304417746,0.00744298125754952
8,"Syracuse, NY",NY,1411.578125,190315,134.824276906388,1428.26345214844,193301.6,135.340297134419,11.2783580945349,0.00738878235952748
9,"Toledo, OH",OH,1171.80224609375,152481,130.12519860608,1178.3103515625,160645.2,136.33521914407,11.3612682620059,0.0073348618667878
10,"Punta Gorda, FL",FL,2474.41577148438,334554,135.205248792649,2442.94760742188,341457.8,139.772870675828,11.6477392229856,0.00715446420442548
11,"Florence, SC",SC,1295.83178710938,177026,136.6118671891,1304.73408203125,182915.4,140.193624524035,11.6828020436695,0.00713299198444335
12,"Watertown, NY",NY,1350.86511230469,180487,133.60845457921,1330.7201171875,188668.8,141.779475310522,11.8149562758768,0.00705320708663807
13,"Battle Creek, MI",MI,1090.33447265625,152331,139.710340102239,1093.98283691406,155184.2,141.852499658722,11.8210416382269,0.00704957616119465
14,"Terre Haute, IN",IN,922.478820800781,140480,152.285339058573,918.615319824219,130874.4,142.469211187381,11.8724342656151,0.00701906041077719
15,"Hinesville, GA",GA,1584.92163085938,224407,141.588704217711,1552.6048828125,223019,143.641825727102,11.9701521439251,0.00696176058009631
16,"Cleveland, OH",OH,1339.97106933594,189155,141.16349548781,1339.35578613281,193955.8,144.812754018122,12.0677295015102,0.00690546911271956
17,"Rocky Mount, NC",NC,1346.2275390625,196055,145.632884717639,1337.59008789063,193718.6,144.826581591595,12.0688817992996,0.00690480980086902
18,"Rochester, NY",NY,1378.5966796875,197494,143.25727234797,1378.72199707031,200781.2,145.628488140935,12.1357073450779,0.00686678831021187
19,"Carbondale, IL",IL,800.885925292969,114092,142.457241907784,796.039465332031,116303.2,146.102304050327,12.1751920041939,0.00684451902726693
20,"Muncie, IN",IN,954.572814941406,133060,139.392195039796,922.66337890625,134856,146.159480351178,12.1799566959315,0.00684184151173289
21,"LaGrange, GA",GA,1254.3076171875,186933,149.032818934126,1275.00864257813,187695.8,147.211394285509,12.2676161904591,0.00679295243994871
22,"Springfield, IL",IL,1047.56774902344,144624,138.056942030548,1032.96970214844,152072.4,147.218645119707,12.2682204266422,0.00679261787246363
23,"Kankakee, IL",IL,1154.59460449219,165509,143.348149520233,1132.63701171875,167153.8,147.57932000328,12.29827666694,0.00677601712745238
24,"Gulfport, MS",MS,1381.92077636719,204380,147.895598282614,1376.02814941406,205632,149.438803332302,12.4532336110252,0.00669170240728127
25,"Miami, FL",FL,2767.30346679688,416790,150.612321706239,2763.98920898438,415285.2,150.248488181543,12.5207073484619,0.00665564101245211
26,"Warner Robins, GA",GA,1416.22241210938,209274,147.769162675727,1424.57380371094,214105,150.294073527302,12.5245061272752,0.00665362230546198
27,"Duluth, MN",MN,1443.67846679688,201078,139.281706158669,1406.47587890625,212159,150.844392841622,12.5703660701352,0.00662934817239075
28,"Jackson, TN",TN,1280.64526367188,191261,149.347368413026,1299.38234863281,196558.8,151.270948236919,12.6059123530766,0.00661065466737084
