RegionID,RegionName,State,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23
394913,"New York, NY",NY," $3,154.52 "," $3,131.36 "," $3,099.16 "," $3,076.00 "," $3,068.36 ","$3,041.20","$3,022.18","$3,000.20","$2,983.45","$2,961.03"
753899,"Los Angeles, CA",CA," $2,930.61 "," $2,925.94 "," $2,917.85 "," $2,909.86 "," $2,904.85 ","$2,896.57","$2,890.20","$2,882.44","$2,876.37","$2,868.33"
394463,"Chicago, IL",IL," $1,877.13 "," $1,875.56 "," $1,869.43 "," $1,870.25 "," $1,873.91 ","$1,870.93","$1,871.40","$1,871.96","$1,871.96","$1,871.63"
394514,"Dallas, TX",TX," $1,823.58 "," $1,811.41 "," $1,796.56 "," $1,781.24 "," $1,775.73 ","$1,761.40","$1,750.00","$1,737.72","$1,726.62","$1,714.10"
394692,"Houston, TX",TX," $1,654.16 "," $1,649.01 "," $1,640.60 "," $1,635.06 "," $1,640.48 ","$1,632.97","$1,631.17","$1,626.75","$1,626.46","$1,622.07"
395209,"Washington, DC",VA," $2,231.84 "," $2,222.49 "," $2,203.72 "," $2,186.49 "," $2,182.35 ","$2,160.59","$2,152.83","$2,134.07","$2,126.11","$2,106.01"
394856,"Miami, FL",FL," $2,750.73 "," $2,759.82 "," $2,771.72 "," $2,770.38 "," $2,767.30 ","$2,774.70","$2,773.98","$2,775.29","$2,776.55","$2,778.54"
394974,"Philadelphia, PA",PA," $1,809.01 "," $1,804.73 "," $1,798.56 "," $1,794.74 "," $1,794.00 ","$1,788.82","$1,785.73","$1,781.81","$1,779.12","$1,775.15"
394347,"Atlanta, GA",GA," $1,956.65 "," $1,951.02 "," $1,940.85 "," $1,934.75 "," $1,930.09 ","$1,922.50","$1,916.05","$1,910.01","$1,903.45","$1,896.81"
394976,"Phoenix, AZ",AZ," $1,903.44 "," $1,892.56 "," $1,880.03 "," $1,869.04 "," $1,862.63 ","$1,850.66","$1,841.16","$1,830.56","$1,821.70","$1,811.09"
394404,"Boston, MA",MA," $2,975.88 "," $2,980.49 "," $2,975.74 "," $2,955.73 "," $2,949.01 ","$2,941.73","$2,930.57","$2,920.60","$2,912.29","$2,901.97"
395057,"San Francisco, CA",CA," $3,133.82 "," $3,120.81 "," $3,099.10 "," $3,085.20 "," $3,076.49 ","$3,059.99","$3,046.36","$3,033.05","$3,020.09","$3,005.67"
395025,"Riverside, CA",CA," $2,532.52 "," $2,517.16 "," $2,513.56 "," $2,498.02 "," $2,490.39 ","$2,476.24","$2,469.56","$2,454.53","$2,447.93","$2,433.29"
394532,"Detroit, MI",MI," $1,375.73 "," $1,372.54 "," $1,368.21 "," $1,366.82 "," $1,370.03 ","$1,366.57","$1,366.41","$1,364.80","$1,365.21","$1,363.60"
395078,"Seattle, WA",WA," $2,246.13 "," $2,229.68 "," $2,203.69 "," $2,181.98 "," $2,169.89 ","$2,147.15","$2,128.23","$2,108.02","$2,089.29","$2,068.88"
394865,"Minneapolis, MN",MN," $1,615.54 "," $1,613.73 "," $1,608.99 "," $1,609.98 "," $1,609.05 ","$1,607.02","$1,605.76","$1,605.03","$1,603.50","$1,602.28"
395056,"San Diego, CA",CA," $3,017.30 "," $3,013.31 "," $2,985.89 "," $2,965.73 "," $2,949.86 ","$2,931.54","$2,910.62","$2,893.96","$2,875.10","$2,857.15"
395148,"Tampa, FL",FL," $2,099.24 "," $2,092.16 "," $2,090.24 "," $2,086.80 "," $2,090.15 ","$2,085.76","$2,086.89","$2,083.57","$2,085.13","$2,081.23"
394530,"Denver, CO",CO," $1,979.33 "," $1,972.00 "," $1,961.16 "," $1,950.51 "," $1,950.26 ","$1,940.38","$1,933.72","$1,926.11","$1,919.77","$1,911.89"
395121,"St. Louis, MO",MO," $1,307.38 "," $1,310.57 "," $1,309.50 "," $1,309.26 "," $1,309.44 ","$1,309.68","$1,309.31","$1,309.63","$1,309.49","$1,309.70"
394358,"Baltimore, MD",MD," $1,752.23 "," $1,745.12 "," $1,739.79 "," $1,737.97 "," $1,741.23 ","$1,736.01","$1,737.38","$1,734.05","$1,735.22","$1,731.06"
394458,"Charlotte, NC",NC," $1,772.92 "," $1,771.20 "," $1,765.52 "," $1,766.01 "," $1,763.43 ","$1,762.12","$1,759.05","$1,757.79","$1,754.93","$1,753.59"
394943,"Orlando, FL",FL," $2,041.23 "," $2,035.27 "," $2,024.20 "," $2,013.79 "," $2,010.69 ","$1,997.83","$1,992.75","$1,981.52","$1,976.34","$1,964.37"
395055,"San Antonio, TX",TX," $1,504.81 "," $1,494.73 "," $1,490.20 "," $1,484.08 "," $1,486.52 ","$1,479.26","$1,478.75","$1,472.87","$1,472.94","$1,466.31"
394998,"Portland, OR",OR," $1,876.43 "," $1,870.99 "," $1,863.04 "," $1,857.81 "," $1,860.90 ","$1,853.82","$1,851.33","$1,846.75","$1,845.39","$1,840.82"
395045,"Sacramento, CA",CA," $2,207.75 "," $2,196.53 "," $2,195.02 "," $2,222.70 "," $2,227.44 ","$2,233.03","$2,245.19","$2,255.51","$2,262.86","$2,273.73"
394775,"Las Vegas, NV",NV," $1,856.71 "," $1,822.69 "," $1,803.81 "," $1,787.07 "," $1,788.84 ","$1,764.72","$1,761.69","$1,742.19","$1,738.70","$1,717.17"
394982,"Pittsburgh, PA",PA," $1,340.61 "," $1,335.80 "," $1,326.95 "," $1,329.86 "," $1,332.80 ","$1,328.52","$1,329.71","$1,329.92","$1,329.65","$1,329.19"
394355,"Austin, TX",TX," $1,872.28 "," $1,853.43 "," $1,830.17 "," $1,817.60 "," $1,811.40 ","$1,792.05","$1,779.81","$1,766.79","$1,753.78","$1,739.49"
394466,"Cincinnati, OH",OH," $1,433.86 "," $1,435.13 "," $1,437.67 "," $1,437.22 "," $1,434.68 ","$1,436.13","$1,435.47","$1,435.02","$1,434.57","$1,434.51"
394735,"Kansas City, MO",MO," $1,360.93 "," $1,359.71 "," $1,360.97 "," $1,360.49 "," $1,359.23 ","$1,359.61","$1,359.20","$1,358.78","$1,358.45","$1,358.23"
394492,"Columbus, OH",OH," $1,481.42 "," $1,468.71 "," $1,459.49 "," $1,458.57 "," $1,463.15 ","$1,454.86","$1,457.04","$1,452.77","$1,453.74","$1,448.46"
394705,"Indianapolis, IN",IN," $1,463.49 "," $1,458.41 "," $1,454.23 "," $1,453.67 "," $1,457.31 ","$1,453.60","$1,455.54","$1,453.58","$1,455.31","$1,452.59"
394475,"Cleveland, OH",OH," $1,327.78 "," $1,341.62 "," $1,340.58 "," $1,346.83 "," $1,339.97 ","$1,346.03","$1,341.92","$1,346.99","$1,342.24","$1,347.93"
395059,"San Jose, CA",CA," $3,264.61 "," $3,233.39 "," $3,197.97 "," $3,175.74 "," $3,181.48 ","$3,149.18","$3,138.30","$3,115.05","$3,106.99","$3,085.58"
394902,"Nashville, TN",TN," $1,894.21 "," $1,886.60 "," $1,875.08 "," $1,869.14 "," $1,867.67 ","$1,858.58","$1,853.23","$1,846.57","$1,841.77","$1,834.91"
395194,"Virginia Beach, VA",VA," $1,626.96 "," $1,629.27 "," $1,631.85 "," $1,622.69 "," $1,627.97 ","$1,623.47","$1,626.25","$1,620.95","$1,625.09","$1,619.37"
395005,"Providence, RI",RI," $1,888.04 "," $1,879.71 "," $1,883.46 "," $1,894.87 "," $1,897.46 ","$1,900.43","$1,906.46","$1,911.17","$1,914.99","$1,920.05"
394714,"Jacksonville, FL",FL," $1,761.98 "," $1,766.63 "," $1,766.39 "," $1,763.61 "," $1,750.00 ","$1,751.28","$1,741.01","$1,739.57","$1,729.03","$1,728.92"
394862,"Milwaukee, WI",WI," $1,210.19 "," $1,209.87 "," $1,210.96 "," $1,211.06 "," $1,213.50 ","$1,213.74","$1,215.52","$1,215.98","$1,217.92","$1,218.24"
