RegionID,RegionName,State,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23
394913,"New York, NY",NY,"$554,162","$545,334","$535,995","$531,301","$528,584","$520,585","$516,642","$510,420","$506,156","$499,188"
753899,"Los Angeles, CA",CA,"$859,954","$856,337","$849,322","$840,678","$835,434","$828,502","$821,616","$814,851","$808,352","$801,467"
394463,"Chicago, IL",IL,"$290,457","$287,437","$286,443","$286,682","$286,914","$285,668","$286,123","$285,511","$285,677","$284,939"
394514,"Dallas, TX",TX,"$396,723","$391,805","$387,637","$381,228","$375,177","$370,118","$364,279","$358,461","$352,877","$347,225"
394692,"Houston, TX",TX,"$327,666","$323,361","$320,765","$315,651","$313,690","$308,649","$306,375","$301,440","$299,241","$294,238"
395209,"Washington, DC",VA,"$493,312","$491,595","$491,614","$484,960","$477,182","$474,854","$468,374","$462,932","$457,457","$452,362"
394856,"Miami, FL",FL,"$411,279","$414,988","$416,303","$417,066","$416,790","$418,737","$418,626","$419,982","$420,070","$421,567"
394974,"Philadelphia, PA",PA,"$318,140","$317,783","$317,197","$317,316","$316,064","$316,300","$315,328","$315,430","$314,404","$314,578"
394347,"Atlanta, GA",GA,"$371,643","$368,126","$362,917","$359,244","$354,583","$350,726","$345,934","$342,195","$337,393","$333,601"
394976,"Phoenix, AZ",AZ,"$459,727","$454,558","$447,240","$438,124","$429,677","$422,439","$413,422","$405,714","$397,079","$389,409"
394404,"Boston, MA",MA,"$614,386","$609,546","$609,041","$601,265","$592,401","$588,567","$581,904","$575,132","$568,961","$562,934"
395057,"San Francisco, CA",CA,"$1,069,385","$1,066,732","$1,074,226","$1,047,001","$1,019,039","$1,013,619","$990,854","$971,576","$953,336","$935,998"
395025,"Riverside, CA",CA,"$539,279","$536,103","$525,218","$518,245","$511,430","$503,944","$496,081","$489,053","$481,406","$474,127"
394532,"Detroit, MI",MI,"$240,513","$237,711","$236,587","$234,924","$227,207","$225,699","$221,772","$218,957","$215,020","$212,146"
395078,"Seattle, WA",WA,"$664,439","$666,354","$660,498","$651,598","$641,397","$637,086","$626,321","$620,018","$610,112","$604,223"
394865,"Minneapolis, MN",MN,"$350,652","$347,372","$344,706","$339,757","$337,638","$333,093","$330,619","$326,102","$323,786","$319,210"
395056,"San Diego, CA",CA,"$797,418","$794,630","$790,251","$783,568","$782,686","$775,704","$773,271","$766,877","$764,793","$758,070"
395148,"Tampa, FL",FL,"$365,961","$365,005","$362,924","$363,464","$357,177","$356,518","$352,484","$351,124","$346,532","$345,637"
