RegionID,RegionName,StateName,Aug 18,Sep 18,Oct 18,Nov 18,Dec 18,Jan 19,Feb 19,Mar 19,Apr 19,May 19,Jun 19,Jul 19,Aug 19,Sep 19,Oct 19,Nov 19,Dec 19,Jan 20,Feb 20,Mar 20,Apr 20,May 20,Jun 20,Jul 20,Aug 20,Sep 20,Oct 20,Nov 20,Dec 20,Jan 21,Feb 21,Mar 21,Apr 21,May 21,Jun 21,Jul 21,Aug 21,Sep 21,Oct 21,Nov 21,Dec 21,Jan 22,Feb 22,Mar 22,Apr 22,May 22,Jun 22,Jul 22,Aug 22,Sep 22,Oct 22,Nov 22,Dec 22,Jan 23
102001,United States,,234730,234204,234463,235793,236051,237189,237591,240356,242432,244478,245294,245623,246221,247418,249590,251712,252815,253820,255663,258857,260130,257486,254313,257111,264393,273769,279883,284748,286889,287608,289748,293535,300363,305921,310805,313031,315371,317172,320822,324312,327469,328421,332035,338254,347712,354759,357096,353337,347545,343106,340474,337433,333395,330963
394913,"New York, NY",NY,400544,406886,405333,408229,400611,401382,400577,401650,401362,400485,401320,403123,402336,403169,406625,411577,415474,416429,420424,422374,426461,426871,425329,420681,421125,428813,443549,458444,467684,470841,472595,475084,481811,486386,493072,497081,500640,506223,511071,512890,511296,512488,515470,521147,530064,537957,545143,551160,557161,554162,545334,535995,531301,528584
753899,"Los Angeles, CA",CA,631226,627691,629338,630193,628718,624524,621848,625020,628934,629119,630231,635454,637717,641615,641310,645077,650281,657079,662273,665494,659000,651676,648334,663259,685913,707923,721213,728228,730782,732694,741376,753488,771200,787484,800915,805471,809231,812744,820462,827403,837896,845381,855967,869916,891677,904875,903309,886535,871617,859954,856337,849322,840678,835434
394463,"Chicago, IL",IL,223621,222898,223829,227846,229560,230611,233522,236514,237164,235628,231883,230884,228323,228833,230961,235283,237690,237433,238918,242172,246404,243914,237789,235127,240612,249933,259538,263497,266482,265342,266423,266939,268326,271245,272539,273170,272739,274563,277094,279764,281289,283167,284890,286019,288628,290468,294768,295454,294196,290457,287437,286443,286682,286914
394514,"Dallas, TX",TX,259950,255109,253399,253805,254198,253403,253775,255327,257809,261591,263829,265973,265714,263529,265037,265546,267142,268248,270075,271255,273036,271476,272029,276179,284479,290086,294687,299964,301253,301384,304838,311021,319045,328582,337062,344698,346726,347736,350272,353701,358260,362555,368203,374935,388741,403062,412268,410701,404747,396723,391805,387637,381228,375177
394692,"Houston, TX",TX,221270,220449,220679,221628,222783,222752,224113,225808,227081,229079,230277,231401,230943,229897,229469,231009,233257,235085,236559,236520,237140,233821,234783,239617,248056,252495,255744,259232,262994,264184,267172,273494,280362,287310,292216,294807,295207,293405,295708,300931,305621,309726,313995,317908,323493,329674,334747,336019,330946,327666,323361,320765,315651,313690
395209,"Washington, DC",VA,385264,384470,385907,386526,390446,393540,396652,399836,399924,398081,394690,394319,394986,395890,398933,405673,409295,408479,409430,415923,424516,419850,412633,414132,425116,437997,445204,448315,448300,444849,439860,441126,447680,460342,466171,468462,468083,468242,470206,470798,471955,467304,467101,474499,492196,506356,511189,506821,499513,493312,491595,491614,484960,477182
394856,"Miami, FL",FL,262640,262100,265882,269781,271295,271013,270494,275337,277490,277690,274898,275772,278113,279799,282499,285958,288266,289948,290636,296323,300862,301689,299841,300664,307934,316470,321825,324686,325871,330130,335918,339812,342723,343468,345326,346589,349155,352720,357029,361501,368847,376714,385164,392666,397800,406140,411027,414376,412037,411279,414988,416303,417066,416790
394974,"Philadelphia, PA",PA,228012,228818,229154,230828,231552,234055,233877,237063,238637,240171,239440,240902,242439,242831,241113,242097,244502,247532,249638,252131,258638,259320,256511,252693,255722,264756,270209,274391,275566,278156,279013,278261,277513,276563,277464,279897,285826,291017,293561,293606,291870,295234,296873,298153,297838,304701,314598,320271,319425,318140,317783,317197,317316,316064
394347,"Atlanta, GA",GA,223112,224875,228402,231187,230909,230142,230847,233430,234124,235804,236596,238170,239375,241198,243958,246825,248577,249824,252026,254040,256604,251796,249066,250494,260724,270681,278330,282234,283566,284759,286876,292339,297924,304604,311075,316598,320410,325190,332331,341142,345569,347310,348384,351498,356674,364393,371609,374745,374322,371643,368126,362917,359244,354583
